bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
4,3,2.5,1,"Nearby, Buddha party palace, Imadol, Lalitpur",0,3,0,0,13,Gravelled,2,1026.75,18000000
4,3,3,0,"Nayabasti, Imadol, Lalitpur",0,2,2,0,13,Gravelled,2,855.62,15000000
7,5,2,3,"Rudreshwor, Budhanilkantha, Kathmandu",12,,,,15,Blacktopped,1,2187,57000000
7,3,2.5,3,"Bafal, Bafal, Kathmandu",0,4,2,0,13,Blacktopped,1,1540.12,24500000
5,6,4,4,"Na, Baluwatar, Kathmandu",5,5,,,13,Paved,2,2622.5,60000000
6,3,3,1,"Yalambar marg, Dharan, Dharan",10,5,,,10,Gravelled,0.833333333,3533.75,16500000
2,4,3,1,"Mahalaxmi nagarpalika pachhadi ko road najik, Mahalaxmi Nagarpalika, Lalitpur",0,3,3,0,12,Gravelled,1,1283.43,21500000
2,1,1,2,"Birendrachowk , kadaghari, Kadaghari, Kathmandu",,,,,10,Gravelled,2,0,13000000
3,3,3,1,"Sundarbasti, Budhanilkantha, Budhanilkantha, Kathmandu",2,3,,,13,Gravelled,1,1391.25,16000000
3,3,3,2,"Kapan height, Kapan, Kathmandu",4,,,,8,Gravelled,0.333333333,729,22000000
6,6,3,1,"Na, Baniyatar, Kathmandu",3,5,,,15,Blacktopped,2,2258,24000000
5,3,3,1,"Samabesi Height, Changunarayan, Bhaktapur",0,3,0,1,13,Soil Stabilized,0.25,1048.14,18000000
5,3,2.5,1,"Nayabasti, Boudha, Boudha, Kathmandu",0,3,2,3,13,Blacktopped,1,1262.04,26500000
6,3,3,0,"Near New Colony, Sukedhara, Kathmandu",0,4,3,0,22,Blacktopped,1,1625.68,35200000
4,4,3,2,"Sital Height, Imadol, Imadol, Lalitpur",0,3,0,1,13,Gravelled,2,1048.14,24500000
4,4,3,1,"Sital Height, Imadol, Imadol, Lalitpur",0,3,0,0,13,Soil Stabilized,0.666666667,1026.75,21000000
4,1,1,4,"Lolang height, Tarakeshwar, Kathmandu",0,4,0,0,14,Blacktopped,1,1369,10500000
5,3,3,0,"Syuchatar, Syuchatar, Kathmandu",0,3,3,0,20,Soil Stabilized,3,1283.43,20000000
7,3,2.5,1,"Chandol, Baluwatar, Kathmandu",0,5,0,0,10,Blacktopped,2,1711.25,39000000
5,4,3,1,"Budhanilkantha, Chapali, Kathmandu",0,4,2,0,14,Paved,2,1540.12,39900000
